"","Y","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"X1",-0.458332440873218,1,1,0,0.01,3,0.127496851579376,1,1,0,0,1,1,1,1,1,1
"X2",-1.06032887864482,1,2,0,0.01,3,0.271249150321405,1,1,0,0,1,1,1,1,1,1
"X3",1.66392694034077,1,3,0,0.01,3,0.43332941456034,1,1,0,0,1,1,1,1,1,1
"X4",2.03788148417694,1,4,0,0.01,3,0.616074402192893,1,1,0,0,1,1,1,1,1,1
"X5",1.8344441939952,1,5,1,0.01,3,0.822118800390509,1,1,0,0,1,1,1,1,1,1
"X6",0.89226073115693,1,6,0,0.01,3,1.05443321064389,1,1,0,0,1,1,1,1,1,1
"X7",1.28065452454547,1,7,0,0.01,3,1.31636697678109,1,1,0,0,1,1,1,1,1,1
"X8",0.676294624998036,1,8,0,0.01,3,1.61169647342312,1,1,0,0,1,1,1,1,1,1
"X9",1.61038265881353,1,9,0,0.01,3,1.94467955106552,1,1,0,0,1,1,1,1,1,1
"X10",3.9843649010256,1,10,0,0.01,3,2.32011692273655,1,1,0,0,1,1,1,1,1,1
"X1.1",2.05897325128187,2,1,0,0.01,3,0.127496851579376,0,0,1,1,0,1,1,0,0,1
"X2.1",-1.22343649850685,2,2,0,0.01,3,0.271249150321405,0,0,1,1,0,1,1,0,0,1
"X3.1",1.22769693432145,2,3,0,0.01,3,0.43332941456034,0,0,1,1,0,1,1,0,0,1
"X4.1",-0.222222460692877,2,4,0,0.01,3,0.616074402192893,0,0,1,1,0,1,1,0,0,1
"X5.1",0.396324628580588,2,5,0,0.01,3,0.822118800390509,0,0,1,1,0,1,1,0,0,1
"X6.1",-0.634568762572451,2,6,0,0.01,3,1.05443321064389,0,0,1,1,0,1,1,0,0,1
"X7.1",1.00074839709457,2,7,0,0.01,3,1.31636697678109,0,0,1,1,0,1,1,0,0,1
"X8.1",1.62587334718678,2,8,1,0.01,3,1.61169647342312,0,0,1,1,0,1,1,0,0,1
"X9.1",0.567445784102435,2,9,0,0.01,3,1.94467955106552,0,0,1,1,0,1,1,0,0,1
"X10.1",4.02996808509025,2,10,0,0.01,3,2.32011692273655,0,0,1,1,0,1,1,0,0,1
"X1.2",-0.0929780668737838,3,1,0,0.01,3,0.127496851579376,1,1,0,1,1,0,1,0,0,1
"X2.2",2.02265737244969,3,2,0,0.01,3,0.271249150321405,1,1,0,1,1,0,1,0,0,1
"X3.2",-1.44241373575443,3,3,0,0.01,3,0.43332941456034,1,1,0,1,1,0,1,0,0,1
"X4.2",2.79947969470283,3,4,0,0.01,3,0.616074402192893,1,1,0,1,1,0,1,0,0,1
"X5.2",1.29009747517989,3,5,0,0.01,3,0.822118800390509,1,1,0,1,1,0,1,0,0,1
"X6.2",0.656052744669028,3,6,0,0.01,3,1.05443321064389,1,1,0,1,1,0,1,0,0,1
"X7.2",1.00068641665343,3,7,0,0.01,3,1.31636697678109,1,1,0,1,1,0,1,0,0,1
"X8.2",2.42031530144001,3,8,0,0.01,3,1.61169647342312,1,1,0,1,1,0,1,0,0,1
"X9.2",1.57007482674196,3,9,0,0.01,3,1.94467955106552,1,1,0,1,1,0,1,0,0,1
"X10.2",2.18114499010865,3,10,0,0.01,3,2.32011692273655,1,1,0,1,1,0,1,0,0,1
"X1.3",-0.0657706186610287,4,1,0,0.01,2,0.0512710963760241,0,0,0,0,0,0,0,0,1,1
"X2.3",0.662656037147073,4,2,0,0.01,2,0.105170918075648,0,0,0,0,0,0,0,0,1,1
"X3.3",0.306280164973248,4,3,0,0.01,2,0.161834242728283,0,0,0,0,0,0,0,0,1,1
"X4.3",0.764076890869776,4,4,0,0.01,2,0.22140275816017,0,0,0,0,0,0,0,0,1,1
"X5.3",-0.534887025833385,4,5,0,0.01,2,0.284025416687741,0,0,0,0,0,0,0,0,1,1
"X6.3",-0.317817527101398,4,6,0,0.01,2,0.349858807576003,0,0,0,0,0,0,0,0,1,1
"X7.3",0.344953787994764,4,7,0,0.01,2,0.419067548593257,0,0,0,0,0,0,0,0,1,1
"X8.3",2.44819826328101,4,8,0,0.01,2,0.49182469764127,0,0,0,0,0,0,0,0,1,1
"X9.3",0.47581960647854,4,9,0,0.01,2,0.568312185490169,0,0,0,0,0,0,0,0,1,1
"X10.3",2.17047695968945,4,10,0,0.01,2,0.648721270700128,0,0,0,0,0,0,0,0,1,1
"X1.4",0.695148323824542,5,1,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X2.4",0.186144531390794,5,2,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X3.4",0.617187262648848,5,3,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X4.4",-1.8466943110376,5,4,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X5.4",-0.682458223631453,5,5,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X6.4",0.552654145124476,5,6,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X7.4",-0.47692431549612,5,7,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X8.4",-0.0319898934533713,5,8,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X9.4",-0.00840945097057742,5,9,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X10.4",1.46455489354693,5,10,0,0.01,1,0.01,0,1,0,0,1,1,1,1,0,1
"X1.5",-0.996541935610388,6,1,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X2.5",1.64427856695322,6,2,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X3.5",-0.279934232069332,6,3,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X4.5",1.36622627146471,6,4,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X5.5",-0.422829843810301,6,5,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X6.5",0.676170362896698,6,6,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X7.5",-1.77350861239592,6,7,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X8.5",-0.124905430156105,6,8,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X9.5",0.554869162264674,6,9,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X10.5",0.150277344605847,6,10,0,0.01,1,0.01,1,0,0,0,1,1,1,0,1,1
"X1.6",0.589852192478765,7,1,0,0.01,2,0.0512710963760241,0,1,1,1,1,0,0,0,0,0
"X2.6",0.350225085594926,7,2,0,0.01,2,0.105170918075648,0,1,1,1,1,0,0,0,0,0
"X3.6",1.66042942990631,7,3,0,0.01,2,0.161834242728283,0,1,1,1,1,0,0,0,0,0
"X4.6",-1.50936328001142,7,4,0,0.01,2,0.22140275816017,0,1,1,1,1,0,0,0,0,0
"X5.6",0.167098124458926,7,5,0,0.01,2,0.284025416687741,0,1,1,1,1,0,0,0,0,0
"X6.6",-0.144689024701574,7,6,0,0.01,2,0.349858807576003,0,1,1,1,1,0,0,0,0,0
"X7.6",1.94577481178092,7,7,1,0.01,2,0.419067548593257,0,1,1,1,1,0,0,0,0,0
"X8.6",-0.244684220097813,7,8,0,0.01,2,0.49182469764127,0,1,1,1,1,0,0,0,0,0
"X9.6",2.34163910012805,7,9,0,0.01,2,0.568312185490169,0,1,1,1,1,0,0,0,0,0
"X10.6",-0.438110799015483,7,10,0,0.01,2,0.648721270700128,0,1,1,1,1,0,0,0,0,0
"X1.7",-1.04218909699381,8,1,1,0.01,1,0.01,1,1,0,0,1,0,0,0,0,0
"X2.7",0.803839082379488,8,2,0,0.01,1,0.01,1,1,0,0,1,0,0,0,0,0
"X3.7",-2.1710935499901,8,3,0,0.01,1,0.01,1,1,0,0,1,0,0,0,0,0
"X4.7",-0.306734939833123,8,4,0,0.01,1,0.01,1,1,0,0,1,0,0,0,0,0
"X5.7",-1.78063568741955,8,5,0,0.01,1,0.01,1,1,0,0,1,0,0,0,0,0
"X6.7",1.74089657787232,8,6,0,0.01,1,0.01,1,1,0,0,1,0,0,0,0,0
"X7.7",-0.00434046951952761,8,7,0,0.01,1,0.01,1,1,0,0,1,0,0,0,0,0
