"","Y","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"X1",0.149177813219633,1,1,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X2",0.229091835356963,1,2,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X3",1.68315265529895,1,3,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X4",0.788594123446602,1,4,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X5",0.199446429994765,1,5,1,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X6",0.997700412364546,1,6,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X7",0.814064836162705,1,7,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X8",-1.47866182048145,1,8,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X9",-0.166567366168052,1,9,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X10",0.980546638288011,1,10,0,0.01,1,0.01,1,0,0,0,0,0,0,1,0,0
"X1.1",1.27273862311844,2,1,0,0.01,2,0.0512710963760241,1,1,1,1,1,1,0,1,1,1
"X2.1",0.493958311821344,2,2,0,0.01,2,0.105170918075648,1,1,1,1,1,1,0,1,1,1
"X3.1",1.53360971550712,2,3,0,0.01,2,0.161834242728283,1,1,1,1,1,1,0,1,1,1
"X4.1",0.230701999577138,2,4,0,0.01,2,0.22140275816017,1,1,1,1,1,1,0,1,1,1
"X5.1",0.0112385651116043,2,5,0,0.01,2,0.284025416687741,1,1,1,1,1,1,0,1,1,1
"X6.1",1.04729162256044,2,6,0,0.01,2,0.349858807576003,1,1,1,1,1,1,0,1,1,1
"X7.1",2.59784990105664,2,7,0,0.01,2,0.419067548593257,1,1,1,1,1,1,0,1,1,1
"X8.1",1.71548221715902,2,8,0,0.01,2,0.49182469764127,1,1,1,1,1,1,0,1,1,1
"X9.1",1.05740133610083,2,9,0,0.01,2,0.568312185490169,1,1,1,1,1,1,0,1,1,1
"X10.1",3.75398726086671,2,10,0,0.01,2,0.648721270700128,1,1,1,1,1,1,0,1,1,1
"X1.2",0.0932242661226981,3,1,0,0.01,3,0.127496851579376,1,0,0,0,1,1,1,1,0,1
"X2.2",2.12295839735533,3,2,0,0.01,3,0.271249150321405,1,0,0,0,1,1,1,1,0,1
