"","Y","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"X1",-2.0526112802327,1,1,0,0.01,2,0.0512710963760241,1,0,0,1,1,1,0,1,0,1
"X2",-1.53676917376134,1,2,0,0.01,2,0.105170918075648,1,0,0,1,1,1,0,1,0,1
"X3",0.249642493426484,1,3,0,0.01,2,0.161834242728283,1,0,0,1,1,1,0,1,0,1
"X4",1.39930705421926,1,4,0,0.01,2,0.22140275816017,1,0,0,1,1,1,0,1,0,1
"X5",0.975370589498721,1,5,0,0.01,2,0.284025416687741,1,0,0,1,1,1,0,1,0,1
"X6",2.45960597565648,1,6,0,0.01,2,0.349858807576003,1,0,0,1,1,1,0,1,0,1
"X7",1.18893380117713,1,7,0,0.01,2,0.419067548593257,1,0,0,1,1,1,0,1,0,1
"X8",0.483974684021446,1,8,1,0.01,2,0.49182469764127,1,0,0,1,1,1,0,1,0,1
"X9",1.67331466133922,1,9,0,0.01,2,0.568312185490169,1,0,0,1,1,1,0,1,0,1
"X10",1.58345314631622,1,10,0,0.01,2,0.648721270700128,1,0,0,1,1,1,0,1,0,1
"X1.1",0.435854776218506,2,1,0,0.01,2,0.0512710963760241,1,0,0,0,0,0,0,1,0,1
"X2.1",1.90334644852286,2,2,0,0.01,2,0.105170918075648,1,0,0,0,0,0,0,1,0,1
"X3.1",-0.0984312054345367,2,3,0,0.01,2,0.161834242728283,1,0,0,0,0,0,0,1,0,1
"X4.1",1.24272836862512,2,4,0,0.01,2,0.22140275816017,1,0,0,0,0,0,0,1,0,1
"X5.1",-1.02712113534142,2,5,0,0.01,2,0.284025416687741,1,0,0,0,0,0,0,1,0,1
"X6.1",0.332467894046652,2,6,0,0.01,2,0.349858807576003,1,0,0,0,0,0,0,1,0,1
"X7.1",-1.25586756337768,2,7,0,0.01,2,0.419067548593257,1,0,0,0,0,0,0,1,0,1
"X8.1",-0.291918849033337,2,8,0,0.01,2,0.49182469764127,1,0,0,0,0,0,0,1,0,1
