"","Y","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"X1",1.15792078414733,1,1,0,0.01,2,0.0512710963760241,0,0,1,0,1,0,0,0,0,0
"X2",-1.79867908007518,1,2,0,0.01,2,0.105170918075648,0,0,1,0,1,0,0,0,0,0
"X3",0.118667282722346,1,3,0,0.01,2,0.161834242728283,0,0,1,0,1,0,0,0,0,0
"X4",0.804387225346564,1,4,0,0.01,2,0.22140275816017,0,0,1,0,1,0,0,0,0,0
"X5",0.462972854908727,1,5,0,0.01,2,0.284025416687741,0,0,1,0,1,0,0,0,0,0
"X6",0.54700368712284,1,6,0,0.01,2,0.349858807576003,0,0,1,0,1,0,0,0,0,0
"X7",1.45678971420742,1,7,0,0.01,2,0.419067548593257,0,0,1,0,1,0,0,0,0,0
"X8",0.536147795547991,1,8,0,0.01,2,0.49182469764127,0,0,1,0,1,0,0,0,0,0
"X9",0.636356331117385,1,9,0,0.01,2,0.568312185490169,0,0,1,0,1,0,0,0,0,0
"X10",0.906218176018965,1,10,0,0.01,2,0.648721270700128,0,0,1,0,1,0,0,0,0,0
"X1.1",-0.358741017316304,2,1,0,0.01,3,0.127496851579376,0,1,1,1,0,0,1,1,1,1
"X2.1",-2.66855055287908,2,2,0,0.01,3,0.271249150321405,0,1,1,1,0,0,1,1,1,1
"X3.1",1.38888905840744,2,3,0,0.01,3,0.43332941456034,0,1,1,1,0,0,1,1,1,1
"X4.1",0.877975552084405,2,4,0,0.01,3,0.616074402192893,0,1,1,1,0,0,1,1,1,1
"X5.1",0.675909427584388,2,5,1,0.01,3,0.822118800390509,0,1,1,1,0,0,1,1,1,1
"X6.1",0.291494991638162,2,6,0,0.01,3,1.05443321064389,0,1,1,1,0,0,1,1,1,1
"X7.1",1.574326912618,2,7,0,0.01,3,1.31636697678109,0,1,1,1,0,0,1,1,1,1
"X8.1",0.099372123048775,2,8,0,0.01,3,1.61169647342312,0,1,1,1,0,0,1,1,1,1
"X9.1",1.83601571600315,2,9,0,0.01,3,1.94467955106552,0,1,1,1,0,0,1,1,1,1
"X10.1",3.06824818305844,2,10,0,0.01,3,2.32011692273655,0,1,1,1,0,0,1,1,1,1
"X1.2",-1.51893003978198,3,1,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X2.2",0.437962035648418,3,2,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X3.2",-0.807206005340764,3,3,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X4.2",0.296933891594111,3,4,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X5.2",-1.07756282411735,3,5,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X6.2",-0.682051675999947,3,6,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X7.2",-0.755646401314799,3,7,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X8.2",-0.0716053719447012,3,8,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X9.2",-0.644560430705666,3,9,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X10.2",0.585483933543347,3,10,0,0.01,1,0.01,1,0,1,1,1,0,0,0,1,1
"X1.3",0.903662834015085,4,1,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X2.3",-1.00773207827456,4,2,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X3.3",0.65038370734402,4,3,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X4.3",-0.968642784522113,4,4,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X5.3",0.697977256666196,4,5,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X6.3",-1.61586061143754,4,6,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X7.3",-1.46019946910228,4,7,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X8.3",0.524542657264326,4,8,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X9.3",-0.265105523665124,4,9,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X10.3",0.901748512006381,4,10,0,0.01,1,0.01,1,0,0,1,1,1,1,1,0,0
"X1.4",-0.0777238809132571,5,1,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X2.4",0.438858354507027,5,2,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X3.4",-2.13417080044147,5,3,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X4.4",0.171028929023888,5,4,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X5.4",-1.1150460285603,5,5,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X6.4",1.07911588140433,5,6,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X7.4",0.185718585760469,5,7,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X8.4",-0.426928729034417,5,8,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X9.4",0.674534831145671,5,9,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X10.4",-0.909652282951179,5,10,0,0.01,1,0.01,0,0,0,1,0,1,1,0,0,1
"X1.5",-1.03558555864924,6,1,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X2.5",-0.238521664622896,6,2,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X3.5",-0.250141793055705,6,3,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X4.5",1.23322333002315,6,4,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X5.5",0.316311627215795,6,5,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X6.5",0.839988966367061,6,6,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X7.5",-0.13425261728599,6,7,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X8.5",-0.675362911438012,6,8,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X9.5",1.63680418117686,6,9,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X10.5",3.28293679193428,6,10,0,0.01,1,0.01,0,0,0,0,1,0,1,0,0,1
"X1.6",0.353424303523215,7,1,1,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X2.6",-1.24178951342878,7,2,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X3.6",0.796125336662998,7,3,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X4.6",1.40760183860783,7,4,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X5.6",0.75103919398765,7,5,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X6.6",-0.182956108690313,7,6,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X7.6",-0.133035531912567,7,7,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X8.6",1.26823139978352,7,8,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X9.6",2.566103850396,7,9,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X10.6",0.706855869318281,7,10,0,0.01,1,0.01,0,0,0,1,1,1,1,1,1,1
"X1.7",0.484907787672437,8,1,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X2.7",-0.0265722127422369,8,2,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X3.7",0.739985630854108,8,3,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X4.7",-1.43542101789347,8,4,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X5.7",0.699507719384159,8,5,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X6.7",0.990468888495085,8,6,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X7.7",-1.37607994325691,8,7,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X8.7",-2.05320208624318,8,8,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X9.7",-1.22879549237156,8,9,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X10.7",1.27315076539609,8,10,0,0.01,1,0.01,1,1,0,1,1,1,1,1,1,1
"X1.8",0.612962611454024,9,1,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X2.8",0.580516080577275,9,2,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X3.8",-2.46476921250813,9,3,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X4.8",0.960823074670044,9,4,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X5.8",0.424273566833983,9,5,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X6.8",0.529724208624913,9,6,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X7.8",-0.469794612048587,9,7,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X8.8",-0.975245411648628,9,8,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X9.8",0.958594595272915,9,9,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X10.8",-1.19246832142586,9,10,0,0.01,1,0.01,0,1,0,1,1,0,0,0,0,0
"X1.9",-0.48453838793477,10,1,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X2.9",-0.643256269603896,10,2,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X3.9",0.488065411547954,10,3,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X4.9",-0.506961972427509,10,4,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X5.9",-0.086719312285218,10,5,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X6.9",-1.92513798074826,10,6,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X7.9",-0.0270866327079353,10,7,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X8.9",0.426893888940844,10,8,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X9.9",0.823667893191326,10,9,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X10.9",-0.24319295736421,10,10,0,0.01,1,0.01,0,0,0,0,0,0,0,0,0,0
"X1.10",-0.0523929488333848,11,1,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X2.10",-0.496793979048599,11,2,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X3.10",-0.773102977621187,11,3,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X4.10",0.780931163359745,11,4,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X5.10",-1.4457188683359,11,5,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X6.10",0.488784376110439,11,6,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X7.10",0.228974332091022,11,7,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X8.10",2.6863228681399,11,8,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X9.10",0.852351163729816,11,9,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X10.10",0.431551128293059,11,10,0,0.0512710963760241,1,0.01,1,1,0,0,1,0,1,1,0,0
"X1.11",0.575543118790361,12,1,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X2.11",-0.525118884450423,12,2,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X3.11",-1.33082952073393,12,3,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X4.11",1.68033991295991,12,4,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X5.11",-1.58416311870527,12,5,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X6.11",1.77735092850386,12,6,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X7.11",-0.654205402372504,12,7,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X8.11",-0.0513925662401265,12,8,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X9.11",0.418847917928464,12,9,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X10.11",1.23150834073742,12,10,0,0.105170918075648,1,0.01,1,1,0,1,0,0,1,1,1,0
"X1.12",1.71796123644777,13,1,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X2.12",-1.18119747661819,13,2,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X3.12",-0.834096864407918,13,3,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X4.12",0.980540584734786,13,4,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X5.12",-0.617913344235295,13,5,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X6.12",-0.61313383112885,13,6,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X7.12",0.17922288319399,13,7,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X8.12",-0.0889364331534424,13,8,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X9.12",-0.317602397261833,13,9,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X10.12",1.29000129252036,13,10,0,0.161834242728283,1,0.01,1,0,1,0,0,0,0,1,0,0
"X1.13",-0.165259710182732,14,1,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X2.13",1.0248367814108,14,2,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X3.13",0.396988904500258,14,3,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X4.13",-0.235053885641242,14,4,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X5.13",-0.946787413336613,14,5,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X6.13",-1.41978848523681,14,6,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X7.13",-0.650365269177613,14,7,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X8.13",0.83207905237573,14,8,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X9.13",2.02958440273825,14,9,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X10.13",-0.250175670284854,14,10,0,0.22140275816017,1,0.01,0,1,1,1,0,1,1,0,1,1
"X1.14",-0.0774864707713313,15,1,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X2.14",1.59989349060108,15,2,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X3.14",0.407507329090451,15,3,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X4.14",0.153580782705152,15,4,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X5.14",1.0858606951154,15,5,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X6.14",0.861817488602048,15,6,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X7.14",-0.145823149520203,15,7,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X8.14",0.448744000777167,15,8,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X9.14",2.28323410913506,15,9,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X10.14",0.453220718624485,15,10,0,0.284025416687741,1,0.01,1,0,0,1,0,0,1,0,0,1
"X1.15",0.515125930812294,16,1,0,0.349858807576003,3,0.127496851579376,0,0,1,0,1,1,0,1,0,0
"X2.15",-0.324310868699771,16,2,0,0.349858807576003,3,0.271249150321405,0,0,1,0,1,1,0,1,0,0
"X3.15",0.409544619180075,16,3,0,0.349858807576003,3,0.43332941456034,0,0,1,0,1,1,0,1,0,0
"X4.15",1.19335099874979,16,4,0,0.349858807576003,3,0.616074402192893,0,0,1,0,1,1,0,1,0,0
"X5.15",-1.18128135422995,16,5,0,0.349858807576003,3,0.822118800390509,0,0,1,0,1,1,0,1,0,0
"X6.15",0.188977371109516,16,6,0,0.349858807576003,3,1.05443321064389,0,0,1,0,1,1,0,1,0,0
"X7.15",2.70767349999309,16,7,0,0.349858807576003,3,1.31636697678109,0,0,1,0,1,1,0,1,0,0
"X8.15",2.55463645098097,16,8,0,0.349858807576003,3,1.61169647342312,0,0,1,0,1,1,0,1,0,0
"X9.15",2.57382755266655,16,9,0,0.349858807576003,3,1.94467955106552,0,0,1,0,1,1,0,1,0,0
"X10.15",2.18877201890169,16,10,0,0.349858807576003,3,2.32011692273655,0,0,1,0,1,1,0,1,0,0
"X1.16",0.377301328769383,17,1,0,0.419067548593257,2,0.0512710963760241,0,1,1,1,0,0,0,0,0,0
"X2.16",0.40325541895905,17,2,0,0.419067548593257,2,0.105170918075648,0,1,1,1,0,0,0,0,0,0
"X3.16",0.248869354914823,17,3,0,0.419067548593257,2,0.161834242728283,0,1,1,1,0,0,0,0,0,0
"X4.16",2.37960581777308,17,4,0,0.419067548593257,2,0.22140275816017,0,1,1,1,0,0,0,0,0,0
"X5.16",0.0761048404747572,17,5,0,0.419067548593257,2,0.284025416687741,0,1,1,1,0,0,0,0,0,0
"X6.16",1.56121802641064,17,6,0,0.419067548593257,2,0.349858807576003,0,1,1,1,0,0,0,0,0,0
"X7.16",1.35876863529684,17,7,0,0.419067548593257,2,0.419067548593257,0,1,1,1,0,0,0,0,0,0
"X8.16",-0.17487626509595,17,8,0,0.419067548593257,2,0.49182469764127,0,1,1,1,0,0,0,0,0,0
"X9.16",-0.599781810056232,17,9,0,0.419067548593257,2,0.568312185490169,0,1,1,1,0,0,0,0,0,0
"X10.16",3.21731918973491,17,10,0,0.419067548593257,2,0.648721270700128,0,1,1,1,0,0,0,0,0,0
"X1.17",0.309030624445007,18,1,0,0.49182469764127,1,0.01,0,1,0,0,1,0,1,0,1,0
"X2.17",0.0253086569581165,18,2,0,0.49182469764127,1,0.01,0,1,0,0,1,0,1,0,1,0
"X3.17",-0.125076310846334,18,3,0,0.49182469764127,1,0.01,0,1,0,0,1,0,1,0,1,0
"X4.17",-0.963230832012533,18,4,0,0.49182469764127,1,0.01,0,1,0,0,1,0,1,0,1,0
"X5.17",-0.708998512212019,18,5,0,0.49182469764127,1,0.01,0,1,0,0,1,0,1,0,1,0
"X6.17",0.676384682399459,18,6,0,0.49182469764127,1,0.01,0,1,0,0,1,0,1,0,1,0
