"","Y","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"X1",-1.36038055754501,1,1,0,0.01,2,0.0512710963760241,1,0,1,0,1,1,0,1,1,0
"X2",-1.02679985505185,1,2,0,0.01,2,0.105170918075648,1,0,1,0,1,1,0,1,1,0
"X3",1.19149994032281,1,3,0,0.01,2,0.161834242728283,1,0,1,0,1,1,0,1,1,0
"X4",0.510974280170273,1,4,0,0.01,2,0.22140275816017,1,0,1,0,1,1,0,1,1,0
"X5",-0.60565162882069,1,5,0,0.01,2,0.284025416687741,1,0,1,0,1,1,0,1,1,0
"X6",-2.16942847384862,1,6,0,0.01,2,0.349858807576003,1,0,1,0,1,1,0,1,1,0
"X7",-1.15927802239131,1,7,0,0.01,2,0.419067548593257,1,0,1,0,1,1,0,1,1,0
"X8",-0.827731223157089,1,8,0,0.01,2,0.49182469764127,1,0,1,0,1,1,0,1,1,0
"X9",1.30863441879242,1,9,0,0.01,2,0.568312185490169,1,0,1,0,1,1,0,1,1,0
"X10",1.33670257277028,1,10,0,0.01,2,0.648721270700128,1,0,1,0,1,1,0,1,1,0
"X1.1",0.894206879504196,2,1,0,0.01,2,0.0512710963760241,0,0,0,1,1,1,0,0,0,0
"X2.1",1.35843484391197,2,2,0,0.01,2,0.105170918075648,0,0,0,1,1,1,0,0,0,0
"X3.1",1.51111751524685,2,3,0,0.01,2,0.161834242728283,0,0,0,1,1,1,0,0,0,0
"X4.1",-0.62267325658589,2,4,0,0.01,2,0.22140275816017,0,0,0,1,1,1,0,0,0,0
"X5.1",0.414660338464004,2,5,0,0.01,2,0.284025416687741,0,0,0,1,1,1,0,0,0,0
"X6.1",0.0877589369863412,2,6,0,0.01,2,0.349858807576003,0,0,0,1,1,1,0,0,0,0
"X7.1",-0.278074433087648,2,7,0,0.01,2,0.419067548593257,0,0,0,1,1,1,0,0,0,0
"X8.1",0.626617233261376,2,8,0,0.01,2,0.49182469764127,0,0,0,1,1,1,0,0,0,0
"X9.1",-0.667291782576948,2,9,0,0.01,2,0.568312185490169,0,0,0,1,1,1,0,0,0,0
"X10.1",0.727713894608194,2,10,0,0.01,2,0.648721270700128,0,0,0,1,1,1,0,0,0,0
"X1.2",0.625394202454385,3,1,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X2.2",-2.41383840241195,3,2,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X3.2",0.30928982803304,3,3,1,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X4.2",0.317833995967962,3,4,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X5.2",1.7773604270864,3,5,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X6.2",0.494007731760892,3,6,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X7.2",-0.188291276208717,3,7,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X8.2",-0.290497487696635,3,8,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X9.2",-0.803381284507946,3,9,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X10.2",-0.0610813670855835,3,10,0,0.01,1,0.01,1,0,1,1,0,0,1,1,1,0
"X1.3",0.395991048190907,4,1,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X2.3",1.2938678029128,4,2,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X3.3",0.399778102204618,4,3,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X4.3",0.502490173713095,4,4,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X5.3",-1.17445927308704,4,5,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X6.3",0.363398221281395,4,6,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X7.3",0.822320385728153,4,7,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X8.3",1.13815818163511,4,8,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X9.3",0.692170911859183,4,9,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X10.3",-0.0428298768987522,4,10,0,0.01,1,0.01,1,0,0,0,1,1,1,1,0,1
"X1.4",-1.52661796651325,5,1,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X2.4",1.96269432112704,5,2,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X3.4",-0.20797841083079,5,3,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X4.4",0.484178286200858,5,4,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X5.4",-0.476748241509911,5,5,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X6.4",1.16463307930813,5,6,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X7.4",-0.293713601426578,5,7,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X8.4",0.363886332089256,5,8,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X9.4",-1.46308792476736,5,9,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X10.4",0.741586435195799,5,10,0,0.01,1,0.01,1,0,1,1,1,0,1,1,0,0
"X1.5",-0.418564831028263,6,1,0,0.01,2,0.0512710963760241,0,0,0,0,0,1,1,1,0,0
"X2.5",-1.47818629304924,6,2,0,0.01,2,0.105170918075648,0,0,0,0,0,1,1,1,0,0
"X3.5",0.969170085020691,6,3,0,0.01,2,0.161834242728283,0,0,0,0,0,1,1,1,0,0
"X4.5",-0.106051109946789,6,4,0,0.01,2,0.22140275816017,0,0,0,0,0,1,1,1,0,0
"X5.5",0.939045879966379,6,5,0,0.01,2,0.284025416687741,0,0,0,0,0,1,1,1,0,0
"X6.5",-0.477094548560015,6,6,0,0.01,2,0.349858807576003,0,0,0,0,0,1,1,1,0,0
"X7.5",0.042870368064454,6,7,0,0.01,2,0.419067548593257,0,0,0,0,0,1,1,1,0,0
"X8.5",0.718640195178083,6,8,0,0.01,2,0.49182469764127,0,0,0,0,0,1,1,1,0,0
"X9.5",-0.258109332206259,6,9,0,0.01,2,0.568312185490169,0,0,0,0,0,1,1,1,0,0
"X10.5",0.365201854472517,6,10,0,0.01,2,0.648721270700128,0,0,0,0,0,1,1,1,0,0
"X1.6",0.568911779923868,7,1,0,0.01,2,0.0512710963760241,1,1,0,0,1,0,0,0,0,1
"X2.6",0.776245257498879,7,2,0,0.01,2,0.105170918075648,1,1,0,0,1,0,0,0,0,1
"X3.6",-1.25011643234567,7,3,0,0.01,2,0.161834242728283,1,1,0,0,1,0,0,0,0,1
"X4.6",-0.498167600843223,7,4,0,0.01,2,0.22140275816017,1,1,0,0,1,0,0,0,0,1
"X5.6",-1.21134189672696,7,5,1,0.01,2,0.284025416687741,1,1,0,0,1,0,0,0,0,1
"X6.6",-0.380641565531409,7,6,0,0.01,2,0.349858807576003,1,1,0,0,1,0,0,0,0,1
"X7.6",-0.269744160963182,7,7,0,0.01,2,0.419067548593257,1,1,0,0,1,0,0,0,0,1
"X8.6",1.30120614660575,7,8,0,0.01,2,0.49182469764127,1,1,0,0,1,0,0,0,0,1
"X9.6",0.112180719602742,7,9,0,0.01,2,0.568312185490169,1,1,0,0,1,0,0,0,0,1
"X10.6",1.98461755898959,7,10,0,0.01,2,0.648721270700128,1,1,0,0,1,0,0,0,0,1
