"","Y","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17"
"X1",-0.740651485039728,1,1,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X2",-1.46126625650075,1,2,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X3",-1.09244556253047,1,3,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X4",0.450505754962488,1,4,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X5",-2.10057489017484,1,5,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X6",-0.0507074642505328,1,6,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X7",-1.17634963876574,1,7,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X8",-0.283494389787078,1,8,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X9",0.902183418874903,1,9,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X10",1.80469138121053,1,10,0,0.01,1,0.01,1,1,1,1,0,1,0,0,0,1
"X1.1",-0.448830471888851,2,1,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X2.1",-0.507419222798479,2,2,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X3.1",0.196988529521261,2,3,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X4.1",2.2373824794834,2,4,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X5.1",0.474023992544385,2,5,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X6.1",0.568510831470573,2,6,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X7.1",-0.720784284992097,2,7,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X8.1",-0.968927742249194,2,8,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X9.1",-0.130116759034572,2,9,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X10.1",-0.831509835322017,2,10,0,0.01,1,0.01,0,0,0,0,1,0,1,1,0,1
"X1.2",-0.972683071474075,3,1,0,0.01,2,0.0512710963760241,0,1,1,1,0,0,0,0,1,0
"X2.2",2.22514100970479,3,2,0,0.01,2,0.105170918075648,0,1,1,1,0,0,0,0,1,0
"X3.2",1.60530469710991,3,3,0,0.01,2,0.161834242728283,0,1,1,1,0,0,0,0,1,0
"X4.2",2.86023138686064,3,4,0,0.01,2,0.22140275816017,0,1,1,1,0,0,0,0,1,0
"X5.2",1.26504428947639,3,5,0,0.01,2,0.284025416687741,0,1,1,1,0,0,0,0,1,0
